"id","start_date","lat","lon","l1","l2","rooms","surface_total","surface_covered","price","currency","property_type","operation_type","fondo"
"Axa7eY32j1Z1ckQPIsJ0bQ==",2019-04-14,-34.5703398,-58.4874673,"Argentina","Capital Federal",2,49,45,15000,"ARS","Departamento","Alquiler",4
"XNw8cHKdqmdqEEvVywYe5g==",2019-04-14,-34.6303762,-58.463539,"Argentina","Capital Federal",3,56,52,14000,"ARS","Departamento","Alquiler",4
"uKm2kzo9qOv6RYWkQJUHLg==",2019-05-01,-34.57597733,-58.4861145,"Argentina","Capital Federal",2,70,67,24000,"ARS","Departamento","Alquiler",3
"vpOL2MQVuDT6AvFrPFE1cg==",2019-05-01,-34.62318599,-58.4669977265,"Argentina","Capital Federal",1,28,28,13500,"ARS","PH","Alquiler",0
"hsisClpA/65y0aWrI3ozsw==",2019-05-01,-34.5876407,-58.4111915,"Argentina","Capital Federal",2,35,35,12000,"ARS","Departamento","Alquiler",0
"YygVzs75FOSPNlJbmo4GhQ==",2019-05-01,-34.5881003586,-58.4002735698,"Argentina","Capital Federal",2,36,36,14000,"ARS","Departamento","Alquiler",0
"4G/Etig5jGVpEbqQ0oQJMQ==",2019-05-01,-34.5720248,-58.4778856,"Argentina","Capital Federal",2,36,36,13500,"ARS","Departamento","Alquiler",0
"l0cLEBA3YuY7wEr0nvDBPQ==",2019-05-01,-34.5705179,-58.4914578,"Argentina","Capital Federal",2,56,54,12500,"ARS","Departamento","Alquiler",2
"lgCrT2RA32IQciOGfc8tpw==",2019-05-01,-34.5690959,-58.4861116,"Argentina","Capital Federal",2,57,52,13000,"ARS","Departamento","Alquiler",5
"Dd0Cka1SaIqZ/u+CQfS2zg==",2019-05-01,-34.5949216,-58.4013038,"Argentina","Capital Federal",3,55,50,14000,"ARS","Departamento","Alquiler",5
"vse/cJp0yXQzA1bQ0jauWw==",2019-05-01,-34.6009149,-58.4050038,"Argentina","Capital Federal",3,92,85,26000,"ARS","Departamento","Alquiler",7
"4QH4J7/vXZmwCAFMiHQfcw==",2019-05-01,-34.5769745,-58.4862177,"Argentina","Capital Federal",3,65,58,19000,"ARS","Departamento","Alquiler",7
"cfSoVe8tBu1wapaOQYUu6w==",2019-05-01,-34.612552,-58.4698944,"Argentina","Capital Federal",4,85,70,18900,"ARS","Departamento","Alquiler",15
"riHBaROB8DKGso75Yuu59w==",2019-05-01,-34.5725794,-58.4820978,"Argentina","Capital Federal",4,87,78,25000,"ARS","Departamento","Alquiler",9
"CJi4vMxqgPhv5Z9CXY+kAw==",2019-06-21,-34.615337,-58.462654,"Argentina","Capital Federal",3,72,50,15000,"ARS","Departamento","Alquiler",22
"2IxlocDed2ffZ+gcWkFpjg==",2019-06-21,-34.5777724673,-58.4764450386,"Argentina","Capital Federal",2,86,50,24000,"ARS","PH","Alquiler",36
"451WZb3I5DhgYNC1H9oPYQ==",2019-06-21,-34.5952691023,-58.405345854,"Argentina","Capital Federal",3,74,74,23000,"ARS","Departamento","Alquiler",0
"PoIRI5Cy0M7OGX6yrtNt9A==",2019-06-21,-34.5845106,-58.4129489,"Argentina","Capital Federal",3,45,45,23000,"ARS","Departamento","Alquiler",0
"EyOI0cBkRJvu+KRxIFCJqQ==",2019-02-06,-34.5968046,-58.4003518,"Argentina","Capital Federal",NA,39,39,12500,"ARS","PH","Alquiler",0
"7iuQOLsNcAmY3hd1RkqZPw==",2019-02-06,-34.6312521,-58.4617411,"Argentina","Capital Federal",NA,172,156,35000,"ARS","Departamento","Alquiler",16
"wWT3KV3ZjWYOE9UawO5QxQ==",2019-02-06,-34.5776082,-58.4817372,"Argentina","Capital Federal",1,90,90,45000,"ARS","PH","Alquiler",0
"UYCUFz3IO/mMM5JwDOJi/A==",2019-02-06,-34.633903,-58.4657453,"Argentina","Capital Federal",1,47,43,10500,"ARS","Departamento","Alquiler",4
"M0jZMPp9Q1dQPvqHakk6gQ==",2019-02-06,-34.5930908,-58.4089839,"Argentina","Capital Federal",1,62,32,13000,"ARS","Departamento","Alquiler",30
"8sLhvwUagjHiKruv5jbFRg==",2019-02-06,-34.57862473,-58.489151,"Argentina","Capital Federal",1,40,40,10000,"ARS","Departamento","Alquiler",0
"45DPVcgl8yNrCAhdolNwjA==",2019-02-06,-34.5746697,-58.4911794,"Argentina","Capital Federal",1,45,39,12000,"ARS","Departamento","Alquiler",6
"XD77p+X0vbOP95qE+LfWpg==",2019-02-06,-34.6273372994,-58.4625041477,"Argentina","Capital Federal",2,49,43,12900,"ARS","Departamento","Alquiler",6
"Wx3aT8NbEWR7rOeu2sf3cA==",2019-02-06,-34.6377676,-58.4665572,"Argentina","Capital Federal",2,56,50,9500,"ARS","Departamento","Alquiler",6
"GlBU9uSBbLR4UQsf8nbeHw==",2019-02-06,-34.63134384,-58.46266937,"Argentina","Capital Federal",3,95,84,18000,"ARS","Departamento","Alquiler",11
"OnLp5cHSyD1iCyra7MYk1A==",2019-02-06,-34.594565,-58.396471,"Argentina","Capital Federal",3,65,65,18000,"ARS","Departamento","Alquiler",0
"+AL0Z1BwSVizLziQAFN7XQ==",2019-02-06,-34.5957447,-58.4097622,"Argentina","Capital Federal",3,53,51,21000,"ARS","Departamento","Alquiler",2
"pDGilwMH7wMEG+TZdQv+qw==",2019-02-06,-34.5835376,-58.4053183,"Argentina","Capital Federal",3,75,75,20000,"ARS","Departamento","Alquiler",0
"RK+JrqW2P3p1Kw02L+SfZw==",2019-02-06,-34.5711249,-58.485769,"Argentina","Capital Federal",3,55,51,20000,"ARS","Departamento","Alquiler",4
"/Vl4TzGJQe8k99/BOuOqbg==",2019-02-06,-34.5952452,-58.3799575,"Argentina","Capital Federal",4,120,120,29000,"ARS","Departamento","Alquiler",0
"/SZhU7kBE820scu+PkuAKA==",2019-05-20,-34.570873,-58.481036,"Argentina","Capital Federal",2,54,40,14000,"ARS","Departamento","Alquiler",14
"P9KR7AnszQG/DhxcGpTiUA==",2019-05-20,-34.578925,-58.4940279,"Argentina","Capital Federal",2,38,31,10500,"ARS","Departamento","Alquiler",7
"NmMOvsyVFjNKlM1MOmmxYg==",2019-01-05,-34.57114792,-58.42329788,"Argentina","Capital Federal",NA,36,30,10500,"ARS","Departamento","Alquiler",6
"Vyaw6skK7ipNsKuXg38bMA==",2019-01-05,-34.572504,-58.486001,"Argentina","Capital Federal",1,32,32,14000,"ARS","Departamento","Alquiler",0
"MIYyeFFJfPz+XmElEdm1tw==",2019-01-05,-34.5911263,-58.4084724,"Argentina","Capital Federal",2,48,48,14000,"ARS","Departamento","Alquiler",0
"YiyNNHQQlqiDN+YFGe4qIA==",2019-01-05,-34.5863983,-58.4181898,"Argentina","Capital Federal",2,45,41,12000,"ARS","Departamento","Alquiler",4
"ZX7/d3dbzhErnwU4bovauA==",2019-01-05,-34.576206,-58.489385,"Argentina","Capital Federal",2,42,37,15300,"ARS","Departamento","Alquiler",5
"C+IN8DTAj3+jFXoeotMqdg==",2019-01-05,-34.5883328494,-58.4057578613,"Argentina","Capital Federal",3,59,59,19000,"ARS","Departamento","Alquiler",0
"iOhoUVDCw9VEOjQ9jBWlog==",2019-01-05,-34.584239,-58.402903,"Argentina","Capital Federal",3,64,61,28000,"ARS","Departamento","Alquiler",3
"GU2/VNYoPRrDNWruxgSLxQ==",2019-01-05,-34.589548,-58.414232,"Argentina","Capital Federal",3,63,63,23000,"ARS","Departamento","Alquiler",0
"hYMp1yfn30fi5b/DbdKyCg==",2019-01-05,-34.578517,-58.499761,"Argentina","Capital Federal",4,106,77,25000,"ARS","PH","Alquiler",29
"RJjlkgjiQ835qLbUvDfpvw==",2019-01-04,-34.63276291,-58.46634293,"Argentina","Capital Federal",NA,35,32,9000,"ARS","Departamento","Alquiler",3
"sEHLnQBpX7v1kH+BJp45VA==",2019-01-04,-34.63404846,-58.46691132,"Argentina","Capital Federal",2,108,55,16000,"ARS","Departamento","Alquiler",53
"EYKAZQfmM16pV6+PEzjAUw==",2019-01-04,-34.62881851,-58.48088837,"Argentina","Capital Federal",1,40,40,9250,"ARS","Departamento","Alquiler",0
"BhJFuxmw9lhD1WG4EZKS4g==",2019-01-04,-34.599586195,-58.3929439708,"Argentina","Capital Federal",3,47,47,12000,"ARS","Departamento","Alquiler",0
"zaPLynzOauh0L7xsNHKX8A==",2019-01-04,-34.569132,-58.4860655,"Argentina","Capital Federal",3,85,75,20000,"ARS","Departamento","Alquiler",10
"Gib/0kPkdvZIIuogBqc1aw==",2019-01-04,-34.57821655,-58.46858215,"Argentina","Capital Federal",2,54,52,15000,"ARS","Departamento","Alquiler",2
"Jd5PtlqycFSiBnFLeNU5CQ==",2019-01-04,-34.6324692,-58.4673451,"Argentina","Capital Federal",2,85,45,11000,"ARS","Departamento","Alquiler",40
"w4LwxelyOUrk7Qz5WPfOcg==",2019-01-04,-34.5809285575,-58.4105128606,"Argentina","Capital Federal",2,45,40,19000,"ARS","Departamento","Alquiler",5
"XxGPxYTNvHmeyvv1NlCXMQ==",2019-01-04,-34.5889873,-58.4050833,"Argentina","Capital Federal",2,35,35,11000,"ARS","Departamento","Alquiler",0
"pM7iCMEK5YbXPFfOH/jOtQ==",2019-01-04,-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,15500,"ARS","Departamento","Alquiler",3
"PX7//iLCL+Q3GCZXEdHqpg==",2019-01-04,-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,15500,"ARS","Departamento","Alquiler",3
"JwliTo61hnzpORq4EiM1eA==",2019-01-04,-34.592546,-58.41073,"Argentina","Capital Federal",1,62,44,18000,"ARS","Departamento","Alquiler",18
"eSecRpy8gLCie07qNFHyjg==",2019-01-04,-34.5686483,-58.4765021,"Argentina","Capital Federal",2,86,46,17000,"ARS","Departamento","Alquiler",40
"52j43dXG5H/ETNEyV2ratQ==",2019-01-04,-34.568952,-58.502908,"Argentina","Capital Federal",2,37,32,11500,"ARS","Departamento","Alquiler",5
"1c12ddz5ojWfsDEl0gQllw==",2019-01-04,-34.6226652,-58.4636573,"Argentina","Capital Federal",3,40,40,11000,"ARS","Departamento","Alquiler",0
"oGq3CVYD6T6G7UXRdi/EUg==",2019-01-04,-34.5959855742,-58.3749486543,"Argentina","Capital Federal",4,85,85,26000,"ARS","Departamento","Alquiler",0
"mSKy3EOXDc4wD2/cLxR57w==",2019-01-04,-34.5880098,-58.3990609,"Argentina","Capital Federal",3,78,68,32000,"ARS","Departamento","Alquiler",10
"uCP34xI3CGUT1kL4MNGVZQ==",2019-01-04,-34.5922162213,-58.4117741963,"Argentina","Capital Federal",4,75,72,21000,"ARS","Departamento","Alquiler",3
"mlGlsS15oekFI6rbNa11Zw==",2019-01-24,-34.6258517,-58.4580029,"Argentina","Capital Federal",1,47,42,13500,"ARS","Departamento","Alquiler",5
"bzMN7NjqN9VbSoE+TXp7xw==",2019-01-24,-34.5917578,-58.3877122,"Argentina","Capital Federal",4,90,90,27500,"ARS","Departamento","Alquiler",0
"CQQsvS9khEv+7Q8V7YLtTQ==",2019-01-24,-34.5951925,-58.4165361,"Argentina","Capital Federal",3,74,68,25000,"ARS","Departamento","Alquiler",6
"nvfWhTr4XApdjt8XZY+Ceg==",2019-01-24,-34.626292,-58.456513,"Argentina","Capital Federal",2,33,30,10000,"ARS","Departamento","Alquiler",3
"bdNTwbVK01D8sHDB1n+XAw==",2019-01-24,-34.598084,-58.411291,"Argentina","Capital Federal",2,38,38,12000,"ARS","Departamento","Alquiler",0
"V2f62jbeQAwAiuVN4kqrCA==",2019-01-24,-34.594951157,-58.4291209547,"Argentina","Capital Federal",2,50,50,20000,"ARS","Departamento","Alquiler",0
"6e8ZJUjfuUzw3mEUj1Jg0g==",2019-01-24,-34.5838053,-58.4011336,"Argentina","Capital Federal",2,55,44,17000,"ARS","Departamento","Alquiler",11
"NoAitbLF0Q0fRZAgQuUBVg==",2019-01-24,-34.5767448,-58.4841078,"Argentina","Capital Federal",2,50,45,16500,"ARS","Departamento","Alquiler",5
"VmjPMpCYI9rIx5umLsfllw==",2019-01-24,-34.576397,-58.48621,"Argentina","Capital Federal",3,68,68,16000,"ARS","Departamento","Alquiler",0
"8b6yZx6U6Y5agH7KRu5o3w==",2019-01-24,-34.596691,-58.407459,"Argentina","Capital Federal",4,80,72,22000,"ARS","Departamento","Alquiler",8
"TVjs1/sIeK1/bcu47+sRcQ==",2019-03-27,-34.6298615,-58.4846654,"Argentina","Capital Federal",2,54,45,14000,"ARS","Departamento","Alquiler",9
"fSYW9WOhW/xLqyqqYtA+ZA==",2019-03-27,-34.597022,-58.385681,"Argentina","Capital Federal",1,28,28,14000,"ARS","Departamento","Alquiler",0
"uH/hbUUOqBto9n31c2nLwg==",2019-03-27,-34.5834293,-58.4052666,"Argentina","Capital Federal",2,38,38,15500,"ARS","Departamento","Alquiler",0
"a3mGRnDNZu0mKN/qyZnTmw==",2019-03-27,-34.590788,-58.411602,"Argentina","Capital Federal",3,80,72,30000,"ARS","Departamento","Alquiler",8
"GJVaEmlRaLgF/L2O0sqNPw==",2019-03-27,-34.5903866,-58.3944446,"Argentina","Capital Federal",4,161,150,41000,"ARS","Departamento","Alquiler",11
"6ZsJQm3efnuNFRl4FoCDRg==",2019-03-27,-34.5732128,-58.4738386,"Argentina","Capital Federal",1,41,32,13000,"ARS","Departamento","Alquiler",9
"78vsiaQ1lw0RLCSuO+iXVg==",2019-03-27,-34.5794071,-58.4949569,"Argentina","Capital Federal",1,30,30,11000,"ARS","Departamento","Alquiler",0
"Gm8iIYjhu3QNfMw6zBiAlQ==",2019-03-27,-34.5855865,-58.4797973,"Argentina","Capital Federal",1,30,30,10500,"ARS","Departamento","Alquiler",0
"CDUn49W4xoimQblA0dgU3w==",2019-03-27,-34.572292,-58.482674,"Argentina","Capital Federal",1,40,37,13000,"ARS","Departamento","Alquiler",3
"urXfO5bjyptoT5lzJQYXKQ==",2019-03-27,-34.5818732547,-58.4914723685,"Argentina","Capital Federal",1,42,40,13000,"ARS","Departamento","Alquiler",2
"Wr/XTDoKBDZY0+JY8UihHQ==",2019-03-27,-34.6300331178,-58.465380872,"Argentina","Capital Federal",2,61,53,11000,"ARS","Departamento","Alquiler",8
"W0bGGSW8ioFnjXXnm93nZw==",2019-03-27,-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,17000,"ARS","Departamento","Alquiler",3
"8mcX1Rn1ztX2ys+stXr6dg==",2019-03-27,-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,17000,"ARS","Departamento","Alquiler",3
"BXc2WwFnFR1NTBsTHC9LGQ==",2019-03-27,-34.5695833,-58.4898092,"Argentina","Capital Federal",2,46,43,14000,"ARS","Departamento","Alquiler",3
"UbjALiFXL1CW6+5S2dxQmA==",2019-03-27,-34.6427445,-58.455305,"Argentina","Capital Federal",3,75,67,17000,"ARS","PH","Alquiler",8
"m+8BItsK8NheqALYbRAqPA==",2019-03-27,-34.5737091,-58.4697027,"Argentina","Capital Federal",3,66,60,19000,"ARS","PH","Alquiler",6
"ag0JHcSAeoJKfxDXsMmI+w==",2019-03-27,-34.6207761,-58.4671727,"Argentina","Capital Federal",3,64,60,13750,"ARS","Departamento","Alquiler",4
"iJXzSrs8UXWPgTsP23nUyw==",2019-03-27,-34.623573,-58.462231,"Argentina","Capital Federal",3,76,67,14000,"ARS","Departamento","Alquiler",9
"B72s1FfyFHGPXKOqXcO61g==",2019-03-27,-34.570884,-58.4886936,"Argentina","Capital Federal",4,122,110,49000,"ARS","Departamento","Alquiler",12
"OV98TAId7PY27/P2ITq9HQ==",2019-03-12,-34.5871135,-58.4059004,"Argentina","Capital Federal",1,25,25,10000,"ARS","Departamento","Alquiler",0
"RHmnfiojuh9ggVlkBnXwtQ==",2019-03-12,-34.5833181,-58.4709807,"Argentina","Capital Federal",1,38,38,11500,"ARS","Departamento","Alquiler",0
"9Vmyijd1RkCUjYQ67gHjNw==",2019-03-12,-34.5872214,-58.40687,"Argentina","Capital Federal",2,37,34,15000,"ARS","Departamento","Alquiler",3
"J2gTFseu/QXdqg1/cm9RCg==",2019-03-12,-34.570884,-58.4886936,"Argentina","Capital Federal",2,47,42,14000,"ARS","Departamento","Alquiler",5
"B3Qic8v+nqB6XxNzf/SBUQ==",2019-03-12,-34.5730770889,-58.479809687,"Argentina","Capital Federal",2,53,49,25000,"ARS","Departamento","Alquiler",4
"bTswvNFpc0IStBJg6HX1CA==",2019-03-12,-34.5786841,-58.4678159,"Argentina","Capital Federal",2,40,40,10600,"ARS","Departamento","Alquiler",0
"tuerFgMocZl6oneB32gfwA==",2019-03-12,-34.5957432594,-58.4028160572,"Argentina","Capital Federal",3,100,100,18000,"ARS","Departamento","Alquiler",0
"C7iOyNjhirDvBibSGLustg==",2019-03-12,-34.594565,-58.396471,"Argentina","Capital Federal",3,65,60,23000,"ARS","Departamento","Alquiler",5
"JAuAgcNuZ4N0LqRHJzlIzQ==",2019-03-12,-34.570884,-58.4886936,"Argentina","Capital Federal",4,95,80,22000,"ARS","PH","Alquiler",15
"bCIsqEyUT5JN9vEjnAPuCg==",2019-03-12,-34.632769,-58.4611763,"Argentina","Capital Federal",4,150,140,45000,"ARS","Departamento","Alquiler",10
"oMtaw21wp+MU7U8pi/KaiQ==",2019-03-12,-34.5915846,-58.4010955,"Argentina","Capital Federal",4,112,112,25000,"ARS","Departamento","Alquiler",0
"+SSa1aCXFk1yEXSP9p8VYQ==",2019-02-25,-34.5778038,-58.4218082,"Argentina","Capital Federal",1,30,30,9500,"ARS","Departamento","Alquiler",0
"d0DzCLj1XCxkZ5oJhbxVSw==",2019-02-25,-34.5872214,-58.40687,"Argentina","Capital Federal",2,37,34,15000,"ARS","Departamento","Alquiler",3
"dSIJY7d+10glPiQ7rCtxbQ==",2019-02-25,-34.5859877,-58.4055798,"Argentina","Capital Federal",4,90,78,27000,"ARS","Departamento","Alquiler",12
"4+81G3GjEhrG0sEol3FZyQ==",2019-02-25,-34.5733088,-58.4738463,"Argentina","Capital Federal",3,108,70,40000,"ARS","Departamento","Alquiler",38
"7MOJK2zBHGPDr17gHY/pnA==",2019-02-25,-34.5823376,-58.4750207,"Argentina","Capital Federal",1,42,42,10500,"ARS","Departamento","Alquiler",0
"CrtUsBmEX/7+JAK+dP5BgQ==",2019-02-25,-34.5932921,-58.4084421,"Argentina","Capital Federal",1,32,32,18000,"ARS","Departamento","Alquiler",0
"SyHDkpzXvS/YbuU/x9tdPQ==",2019-02-25,-34.603637,-58.390722,"Argentina","Capital Federal",3,64,61,16000,"ARS","Departamento","Alquiler",3
"dLToo8p1YQqFAtP9jF7xoQ==",2019-06-02,-34.6366415,-58.4590567,"Argentina","Capital Federal",NA,75,57,18000,"ARS","Casa","Alquiler",18
"2BlaZoW0yRRpodo9jWVa9w==",2019-06-02,-34.5917134021,-58.4072591324,"Argentina","Capital Federal",NA,36,36,11500,"ARS","Departamento","Alquiler",0
"xYODra47ciy7KCO/Qy7PfA==",2019-06-02,-34.5956362,-58.3997719,"Argentina","Capital Federal",NA,110,110,27000,"ARS","Departamento","Alquiler",0
"mIjPmIxQNQHh0WEfo32jug==",2019-06-02,-34.6281619,-58.4647331,"Argentina","Capital Federal",1,30,26,9000,"ARS","Departamento","Alquiler",4
"4Tm97xnpCd49xsuQvQDouw==",2019-06-02,-34.58729172,-58.40311813,"Argentina","Capital Federal",1,25,25,12000,"ARS","Departamento","Alquiler",0
"kl41Nmi/aRHJFziXV5Dpkg==",2019-06-02,-34.570137,-58.487244,"Argentina","Capital Federal",1,39,32,11000,"ARS","Departamento","Alquiler",7
"1rghx5qX7hYpobmB4ztnRw==",2019-06-02,-34.6316171,-58.4616803,"Argentina","Capital Federal",1,35,32,8500,"ARS","Departamento","Alquiler",3
"OVn12leepKNqRhFeFUaBcQ==",2019-06-02,-34.5658944,-58.4794571,"Argentina","Capital Federal",2,43,40,12000,"ARS","Departamento","Alquiler",3
"ZOFRBOCIdkTTxlsj0c6JBA==",2019-06-02,-34.5733006,-58.4801953,"Argentina","Capital Federal",2,45,40,13000,"ARS","Departamento","Alquiler",5
"tnrNfN5quKopv/42EHBKPg==",2019-06-02,-34.57928,-58.481988,"Argentina","Capital Federal",2,43,40,17000,"ARS","Departamento","Alquiler",3
"edf9fbSaSHAgwKqktGF39g==",2019-06-02,-34.57889175,-58.48106766,"Argentina","Capital Federal",3,92,87,35000,"ARS","Departamento","Alquiler",5
"RFtLihwIPISvpZ9mJQ398g==",2019-03-07,-34.61681366,-58.46664429,"Argentina","Capital Federal",NA,44,40,12000,"ARS","Departamento","Alquiler",4
"ul6bEKF7iHjJBwCoRohXcA==",2019-03-07,-34.6371428,-58.4724801,"Argentina","Capital Federal",NA,35,35,10000,"ARS","Departamento","Alquiler",0
"NY61ZzC96udZ1S566UMgKA==",2019-03-07,-34.6284893,-58.4665708,"Argentina","Capital Federal",2,44,40,11200,"ARS","Departamento","Alquiler",4
"5wVmNBWhw4rKNzUyG0XDKA==",2019-03-07,-34.5976942,-58.3899304,"Argentina","Capital Federal",3,80,80,25000,"ARS","Departamento","Alquiler",0
"GJQpw190jtXoM2GZ7rt1fQ==",2019-03-07,-34.5869382,-58.4049729,"Argentina","Capital Federal",3,65,60,18000,"ARS","Departamento","Alquiler",5
"UHxW00qGMWm3FqgENYU2MA==",2019-03-07,-34.5783786035,-58.4675493661,"Argentina","Capital Federal",3,75,65,25000,"ARS","Departamento","Alquiler",10
"I/bmsUlZ4rRN2EThMPSEew==",2019-03-07,-34.6301077,-58.4583409,"Argentina","Capital Federal",1,35,32,12000,"ARS","Departamento","Alquiler",3
"Tez/KrqkxIhTDMEqD1Ln4g==",2019-03-07,-34.5887095,-58.4024589,"Argentina","Capital Federal",1,26,26,8500,"ARS","Departamento","Alquiler",0
