"","id","start_date","lat","lon","l1","l2","rooms","surface_total","surface_covered","price","currency","property_type","operation_type","fondo"
"1017","uoEU7TAtDoXNDd3/6znk9Q==","2019-04-18",-34.5636169,-58.4916832,"Argentina","Capital Federal",1,30,27,11000,"ARS","Departamento","Alquiler",3
"1860","sjr53Oxo4Z7opOesBnbSYQ==","2019-01-16",-34.5998089,-58.3905267,"Argentina","Capital Federal",1,30,30,8500,"ARS","Departamento","Alquiler",0
"679","oqq2IIphtiTUAB3727tP/g==","2019-03-15",-34.5744789,-58.4826594,"Argentina","Capital Federal",3,73,70,24900,"ARS","Departamento","Alquiler",3
"129","TAPwikf3GDGUQdl10d4R6w==","2019-03-07",-34.599145,-58.4037923,"Argentina","Capital Federal",1,33,27,10000,"ARS","Departamento","Alquiler",6
"930","XVLfscrwmb4QMl0lRO7IvQ==","2019-01-21",-34.591292,-58.404592,"Argentina","Capital Federal",2,54,54,12000,"ARS","Departamento","Alquiler",0
"1533","T4wZNPoCpMQMuMnfympmNA==","2019-04-05",-34.5666559,-58.4874833,"Argentina","Capital Federal",3,100,55,22000,"ARS","Departamento","Alquiler",45
"471","eBv3XjNx72w1yjZFNakRbw==","2019-04-09",-34.57896805,-58.4881134,"Argentina","Capital Federal",NA,37,34,10500,"ARS","Departamento","Alquiler",3
"299","/zFRDHOiHxiBGpnwr/gP9Q==","2019-06-20",-34.603683,-58.381557,"Argentina","Capital Federal",4,105,95,26000,"ARS","Departamento","Alquiler",10
"270","RAAInQHGu4+A8ZFFmuEKLQ==","2019-02-10",-34.6392997,-58.4787268,"Argentina","Capital Federal",2,45,41,12700,"ARS","Departamento","Alquiler",4
"1211","Q3k4S1klMFoA3tZg7sRESQ==","2019-04-26",-34.575317,-58.4835815,"Argentina","Capital Federal",2,44,40,14500,"ARS","Departamento","Alquiler",4
"1331","Cr4s+3wkdu3jjx7pkbakSw==","2019-03-18",-34.6381396,-58.4587947,"Argentina","Capital Federal",2,51,42,12000,"ARS","Departamento","Alquiler",9
"597","P+7zp2HRtA3ckl1WOjtPgA==","2019-02-27",-34.5744893121,-58.4730836197,"Argentina","Capital Federal",1,32,27,15000,"ARS","Departamento","Alquiler",5
"1301","NwNoxJgdRUwUi/gcCIKkOQ==","2019-04-16",-34.570884,-58.4886936,"Argentina","Capital Federal",2,56,53,17000,"ARS","Departamento","Alquiler",3
"1898","UQMYokkO4tGJV2v5Ez9IZg==","2019-05-31",-34.57200241,-58.48526382,"Argentina","Capital Federal",1,51,44,20000,"ARS","Departamento","Alquiler",7
"1518","rQjaO80OH44CyoeGZN1EVQ==","2019-04-11",-34.5934612,-58.4013172,"Argentina","Capital Federal",3,80,71,19000,"ARS","Departamento","Alquiler",9
"330","mBUHTiWocouk9ACW/IHvVw==","2019-04-27",-34.5718842,-58.4800664,"Argentina","Capital Federal",2,50,45,15000,"ARS","Departamento","Alquiler",5
"1799","Fi1We8VmdhqWNwVpySOAxw==","2019-04-06",-34.6344501,-58.4675376,"Argentina","Capital Federal",2,74,57,14000,"ARS","Departamento","Alquiler",17
"1865","27uU2xxubM62z1aPnEph4w==","2019-01-16",-34.629367,-58.4538766,"Argentina","Capital Federal",2,41,41,11000,"ARS","Departamento","Alquiler",0
"1615","frhsNVIF6ZG7t8WmDco5JQ==","2019-03-28",-34.5799927,-58.4081181,"Argentina","Capital Federal",2,76,70,52500,"ARS","Departamento","Alquiler",6
"1749","pTf2Jq0IouOarsoGDmR/9g==","2019-02-14",-34.57469,-58.481518,"Argentina","Capital Federal",3,80,80,32000,"ARS","Departamento","Alquiler",0
"37","Vyaw6skK7ipNsKuXg38bMA==","2019-01-05",-34.572504,-58.486001,"Argentina","Capital Federal",1,32,32,14000,"ARS","Departamento","Alquiler",0
"1129","qEZOuO1nGyFnpQQfcol6gA==","2019-01-10",-34.56322098,-58.49254608,"Argentina","Capital Federal",1,55,50,16500,"ARS","Departamento","Alquiler",5
"729","pQRXyHrsQlMNhCmb+6GvAQ==","2019-03-14",-34.578083,-58.488316,"Argentina","Capital Federal",3,47,42,18000,"ARS","Departamento","Alquiler",5
"878","xIRjJdBxjL+fD4M+xDtMzQ==","2019-01-13",-34.6083201,-58.3948227,"Argentina","Capital Federal",1,35,35,12000,"ARS","Departamento","Alquiler",0
"485","KZua4iDLrAOl23qdviyJXw==","2019-02-28",-34.59880829,-58.39573669,"Argentina","Capital Federal",3,90,90,21000,"ARS","Departamento","Alquiler",0
"1701","G+C/a3cqz7kvDsdhHOSvKg==","2019-03-29",-34.6298866,-58.4604097,"Argentina","Capital Federal",3,63,60,18000,"ARS","Departamento","Alquiler",3
"1826","LLYK7dq/OO5x7TKhoCVzlQ==","2019-02-20",-34.5940228,-58.3935873,"Argentina","Capital Federal",2,52,52,45000,"ARS","Departamento","Alquiler",0
"874","0k6jbDby2Y0HvJEeQUWLRg==","2019-01-17",-34.603699,-58.381599,"Argentina","Capital Federal",3,60,55,14000,"ARS","Departamento","Alquiler",5
"382","32l5RGRldNdjmZ1nsqZKjg==","2019-04-20",-34.5774486,-58.489393,"Argentina","Capital Federal",3,60,54,22000,"ARS","Departamento","Alquiler",6
"1625","aOrkK3CKvgrDvtk7sF+d2A==","2019-03-28",-34.574218,-58.481221,"Argentina","Capital Federal",4,96,87,28000,"ARS","Departamento","Alquiler",9
"975","u6knfjHu/jBbqz2NVJ/dQg==","2019-06-22",-34.5924718,-58.3770829,"Argentina","Capital Federal",1,45,45,30000,"ARS","Departamento","Alquiler",0
"801","J4nT3HMspSL4HhtlGDyA6w==","2019-03-20",-34.6345764,-58.4687846,"Argentina","Capital Federal",NA,54,54,13000,"ARS","Departamento","Alquiler",0
"852","/VWpWrQAh811F3IcGuBzaw==","2019-03-01",-34.5985323877,-58.4119440882,"Argentina","Capital Federal",2,45,42,18500,"ARS","Departamento","Alquiler",3
"931","HgpyA6enPtp9rhcn2kMo7w==","2019-02-02",-34.63090897,-58.46084595,"Argentina","Capital Federal",2,56,56,14500,"ARS","Departamento","Alquiler",0
"326","dgqJdCaw70D+hU+gLScH0w==","2019-04-27",-34.628825,-58.461108,"Argentina","Capital Federal",2,57,40,15000,"ARS","Departamento","Alquiler",17
"1930","+iT3G9/wkiaUg4uDmu+UKw==","2019-05-31",-34.5992361,-58.403781,"Argentina","Capital Federal",3,160,80,30000,"ARS","Departamento","Alquiler",80
"554","4DmkSxbZwgJMCEWlJMJ4Jw==","2019-01-20",-34.63395,-58.4627529,"Argentina","Capital Federal",2,31,29,9500,"ARS","Departamento","Alquiler",2
"1446","Rzn4L21RXUKdGwkBjDme5w==","2019-05-04",-34.5949733,-58.4051957,"Argentina","Capital Federal",2,40,40,11900,"ARS","Departamento","Alquiler",0
"111","2BlaZoW0yRRpodo9jWVa9w==","2019-06-02",-34.5917134021,-58.4072591324,"Argentina","Capital Federal",NA,36,36,11500,"ARS","Departamento","Alquiler",0
"1428","3rPJN2fGAZPg7owfTESYkg==","2019-03-16",-34.5778405,-58.4770501,"Argentina","Capital Federal",3,57,50,16000,"ARS","Departamento","Alquiler",7
"532","qz7kMSgjn5fCHDs0qBmKnA==","2019-03-26",-34.569664,-58.48579407,"Argentina","Capital Federal",1,40,36,14000,"ARS","Departamento","Alquiler",4
"1530","xeMinQkqvXD0go9Mk9Ygqg==","2019-04-05",-34.5928998,-58.3870274,"Argentina","Capital Federal",3,75,65,20000,"ARS","Departamento","Alquiler",10
"556","qDbbodc56wXiVCF3W17jyw==","2019-01-20",-34.5967191,-58.4018293,"Argentina","Capital Federal",3,60,55,17000,"ARS","Departamento","Alquiler",5
"889","+RNgbrVTgw4B7C2OSlfjvg==","2019-01-28",-34.570884,-58.4886936,"Argentina","Capital Federal",1,37,32,9800,"ARS","Departamento","Alquiler",5
"343","bg6ZKx0lY3Z0YuUX9qSwUg==","2019-04-07",-34.6343121924,-58.4697824693,"Argentina","Capital Federal",3,60,60,14000,"ARS","Departamento","Alquiler",0
"582","N4ChkZYrn4x8XU4Skx+SAg==","2019-04-02",-34.600963,-58.405294,"Argentina","Capital Federal",2,34,34,15500,"ARS","Departamento","Alquiler",0
"1145","kMs6FoBTyI/1Cr6MOTQEmA==","2019-01-10",-34.570884,-58.4886936,"Argentina","Capital Federal",3,90,90,18500,"ARS","PH","Alquiler",0
"40","ZX7/d3dbzhErnwU4bovauA==","2019-01-05",-34.576206,-58.489385,"Argentina","Capital Federal",2,42,37,15300,"ARS","Departamento","Alquiler",5
"1708","gNCjOoc17k1Fx5TrYXTJuw==","2019-03-29",-34.6006386621,-58.398736891,"Argentina","Capital Federal",2,48,45,12000,"ARS","Departamento","Alquiler",3
